name,qid,measure,value,split
LMART_L,37,AP(rel=3)@10,0.34444444444444444,train
LMART_L,38,recip_rank,1.0,train
LMART_L,38,nDCG@10,0.5788247252432385,train
LMART_L,38,AP(rel=3)@10,0.1111111111111111,train
LMART_L,39,recip_rank,1.0,test
LMART_L,39,nDCG@10,0.6042763425987214,test
LMART_L,39,AP(rel=3)@10,0.16734693877551018,test
LMART_L,4,recip_rank,1.0,train
LMART_L,4,nDCG@10,0.7128631130363705,train
LMART_L,4,AP(rel=3)@10,0.1584467120181406,train
LMART_L,40,recip_rank,1.0,train
LMART_L,40,nDCG@10,0.47008098440868346,train
LMART_L,40,AP(rel=3)@10,0.09109730848861282,train
LMART_L,41,recip_rank,1.0,train
LMART_L,41,nDCG@10,0.24210094292788817,train
LMART_L,41,AP(rel=3)@10,0.06666666666666667,train
LMART_L,42,recip_rank,1.0,train
LMART_L,42,nDCG@10,0.272035141866627,train
LMART_L,42,AP(rel=3)@10,0.03333333333333333,train
LMART_L,43,recip_rank,1.0,test
LMART_L,43,nDCG@10,0.7218517596487661,test
LMART_L,43,AP(rel=3)@10,0.7113095238095237,test
LMART_L,44,recip_rank,1.0,train
LMART_L,44,nDCG@10,0.8490350291738034,train
LMART_L,44,AP(rel=3)@10,0.4367724867724868,train
LMART_L,45,recip_rank,1.0,train
LMART_L,45,nDCG@10,0.5430255168803962,train
LMART_L,45,AP(rel=3)@10,0.11277777777777778,train
LMART_L,46,recip_rank,1.0,train
LMART_L,46,nDCG@10,0.853375757454608,train
LMART_L,46,AP(rel=3)@10,0.1875,train
LMART_L,47,recip_rank,1.0,validation
LMART_L,47,nDCG@10,0.05325605029047751,validation
LMART_L,47,AP(rel=3)@10,0.0,validation
LMART_L,5,recip_rank,1.0,train
LMART_L,5,nDCG@10,0.972227511225289,train
LMART_L,5,AP(rel=3)@10,0.1724137931034483,train
LMART_L,6,recip_rank,1.0,train
LMART_L,6,nDCG@10,0.8548168042303094,train
LMART_L,6,AP(rel=3)@10,0.21621621621621623,train
LMART_L,7,recip_rank,1.0,train
LMART_L,7,nDCG@10,0.7572679465321717,train
LMART_L,7,AP(rel=3)@10,0.1748270248270248,train
LMART_L,8,recip_rank,1.0,test
LMART_L,8,nDCG@10,0.7736421111082498,test
LMART_L,8,AP(rel=3)@10,0.11904761904761904,test
LMART_L,9,recip_rank,1.0,train
LMART_L,9,nDCG@10,0.8107245680611118,train
LMART_L,9,AP(rel=3)@10,0.16458764665286404,train
